,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
85,Marcin Bułka,pl POL,GK,Nice,Ligue 1,25-140,1999,22,22,"1,980",22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
86,Rémy Cabella,fr FRA,"FW,MF",Lille,Ligue 1,34-350,1990,19,10,802,8.9,0,2,2,0,0,0,1,0,2.6,2.6,1.9,4.5,34,51,102,0.00,0.22,0.22,0.00,0.22,0.29,0.21,0.50,0.29,0.50
87,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,Ligue 1,27-333,1997,15,9,732,8.1,1,0,1,1,0,0,3,1,1.5,1.5,1.3,2.8,19,16,51,0.12,0.00,0.12,0.12,0.12,0.18,0.16,0.34,0.18,0.34
88,Duje Ćaleta-Car,hr CRO,DF,Lyon,Ligue 1,28-157,1996,15,14,"1,247",13.9,1,0,1,1,0,0,7,0,1.7,1.7,0.1,1.9,3,36,0,0.07,0.00,0.07,0.07,0.07,0.13,0.01,0.13,0.13,0.13
89,Issiaga Camara,gn GUI,MF,Nice,Ligue 1,20-019,2005,4,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Lamine Camara,sn SEN,MF,Monaco,Ligue 1,21-051,2004,18,16,"1,291",14.3,2,6,8,2,0,0,7,1,1.6,1.6,3.2,4.8,19,97,29,0.14,0.42,0.56,0.14,0.56,0.11,0.23,0.33,0.11,0.33
91,Mahdi Camara,fr FRA,MF,Brest,Ligue 1,26-236,1998,22,19,"1,623",18.0,3,2,5,3,0,0,4,0,2.3,2.3,1.7,4.0,32,67,54,0.17,0.11,0.28,0.17,0.28,0.13,0.10,0.22,0.13,0.22
92,Axel Camblan,fr FRA,"MF,FW",Brest,Ligue 1,21-175,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17
93,Jaydee Canvot,fr FRA,"DF,MF",Toulouse,Ligue 1,18-207,2006,9,7,616,6.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.5,4,25,0,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
94,Pierrick Capelle,fr FRA,MF,Angers,Ligue 1,37-312,1987,12,2,321,3.6,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.8,7,13,13,0.00,0.00,0.00,0.00,0.00,0.03,0.19,0.22,0.03,0.22
